domain,fqcn,member,kind,signature_or_value,notes
other,ic2.api.addons.IModule,canLoad,method,ic2.api.addons.boolean canLoad(net.minecraftforge.api.distmarker.Dist side),public
other,ic2.api.addons.IModule,loadConfigs,method,void loadConfigs(),public
other,ic2.api.addons.IModule,postInit,method,void postInit(),public
other,ic2.api.addons.IModule,preInit,method,void preInit(net.minecraftforge.eventbus.api.IEventBus modBus),public
other,ic2.api.blocks.BlockRegistries,getAllValueBlocks,method,java.util.List getAllValueBlocks(),public
other,ic2.api.blocks.BlockRegistries,getBlocksForOreValue,method,java.util.Set getBlocksForOreValue(ic2.api.blocks.int value),public
other,ic2.api.blocks.BlockRegistries,getOreValue,method,ic2.api.blocks.int getOreValue(net.minecraft.world.level.block.state.BlockState state),public
other,ic2.api.blocks.BlockRegistries,getOreValue,method,ic2.api.blocks.int getOreValue(net.minecraft.world.level.block.Block block),public
other,ic2.api.blocks.BlockRegistries,registerListener,method,void registerListener(ic2.api.blocks.Runnable run),public
other,ic2.api.blocks.BlockRegistries,registerOre,method,"void registerOre(ic2.api.blocks.int value, net.minecraft.tags.TagKey tag)",public
other,ic2.api.blocks.BlockRegistries,registerOre,method,"void registerOre(ic2.api.blocks.int value, net.minecraft.world.level.block.Block... blocks)",public
other,ic2.api.blocks.BlockRegistries,reload,method,void reload(),public
other,ic2.api.blocks.ExplosionWhitelist,addWhitelist,method,void addWhitelist(net.minecraft.world.level.block.Block... blocks),public
other,ic2.api.blocks.ExplosionWhitelist,isWhitelisted,method,ic2.api.blocks.boolean isWhitelisted(net.minecraft.world.level.block.Block block),public
other,ic2.api.blocks.ExplosionWhitelist,removeWhitelist,method,void removeWhitelist(net.minecraft.world.level.block.Block... blocks),public
other,ic2.api.blocks.IAdvancedComparable,getComparatorInputOverride,method,"ic2.api.blocks.int getComparatorInputOverride(net.minecraft.world.level.block.state.BlockState state, net.minecraft.world.level.Level world, net.minecraft.core.BlockPos pos, net.minecraft.core.Direction side)",public
other,ic2.api.blocks.wrench.BaseWrenchHandler,canRemoveBlock,method,"ic2.api.blocks.wrench.boolean canRemoveBlock(net.minecraft.world.level.block.state.BlockState state, net.minecraft.world.level.Level world, net.minecraft.core.BlockPos pos, net.minecraft.world.entity.player.Player player)",public
other,ic2.api.blocks.wrench.BaseWrenchHandler,doSpecialAction,method,"ic2.api.blocks.wrench.boolean doSpecialAction(net.minecraft.world.level.block.state.BlockState state, net.minecraft.world.level.Level world, net.minecraft.core.BlockPos pos, net.minecraft.core.Direction dir, net.minecraft.world.entity.player.Player player, net.minecraft.world.phys.Vec3 hit)",public
other,ic2.api.blocks.wrench.BaseWrenchHandler,getDropRate,method,"ic2.api.blocks.wrench.double getDropRate(net.minecraft.world.level.block.state.BlockState state, net.minecraft.world.level.Level world, net.minecraft.core.BlockPos pos, net.minecraft.world.entity.player.Player player)",public
other,ic2.api.blocks.wrench.BaseWrenchHandler,getDrops,method,"java.util.List getDrops(net.minecraft.world.level.block.state.BlockState state, net.minecraft.world.level.Level world, net.minecraft.core.BlockPos pos, net.minecraft.world.entity.player.Player player)",public
other,ic2.api.blocks.wrench.BaseWrenchHandler,hasSpecialAction,method,"net.minecraft.world.phys.AABB hasSpecialAction(net.minecraft.world.level.block.state.BlockState state, net.minecraft.world.level.Level world, net.minecraft.core.BlockPos pos, net.minecraft.core.Direction dir, net.minecraft.world.entity.player.Player player, net.minecraft.world.phys.Vec3 hit)",public
other,ic2.api.blocks.wrench.ChestWrenchHandler,INSTANCE,field,ic2.api.blocks.IWrenchable INSTANCE,public
other,ic2.api.blocks.wrench.ChestWrenchHandler,canSetFacing,method,"ic2.api.blocks.wrench.boolean canSetFacing(net.minecraft.world.level.block.state.BlockState state, net.minecraft.world.level.Level world, net.minecraft.core.BlockPos pos, net.minecraft.world.entity.player.Player player, net.minecraft.core.Direction side)",public
other,ic2.api.blocks.wrench.DispenserWrenchHandler,INSTANCE,field,ic2.api.blocks.IWrenchable INSTANCE,public
other,ic2.api.blocks.wrench.DispenserWrenchHandler,canSetFacing,method,"ic2.api.blocks.wrench.boolean canSetFacing(net.minecraft.world.level.block.state.BlockState state, net.minecraft.world.level.Level world, net.minecraft.core.BlockPos pos, net.minecraft.world.entity.player.Player player, net.minecraft.core.Direction side)",public
other,ic2.api.blocks.wrench.DispenserWrenchHandler,getFacing,method,"net.minecraft.core.Direction getFacing(net.minecraft.world.level.block.state.BlockState state, net.minecraft.world.level.Level world, net.minecraft.core.BlockPos pos)",public
other,ic2.api.blocks.wrench.DispenserWrenchHandler,setFacing,method,"ic2.api.blocks.wrench.boolean setFacing(net.minecraft.world.level.block.state.BlockState state, net.minecraft.world.level.Level world, net.minecraft.core.BlockPos pos, net.minecraft.world.entity.player.Player player, net.minecraft.core.Direction side)",public
other,ic2.api.blocks.wrench.HopperWrenchHandler,INSTANCE,field,ic2.api.blocks.IWrenchable INSTANCE,public
other,ic2.api.blocks.wrench.HopperWrenchHandler,canSetFacing,method,"ic2.api.blocks.wrench.boolean canSetFacing(net.minecraft.world.level.block.state.BlockState state, net.minecraft.world.level.Level world, net.minecraft.core.BlockPos pos, net.minecraft.world.entity.player.Player player, net.minecraft.core.Direction side)",public
other,ic2.api.blocks.wrench.HopperWrenchHandler,getFacing,method,"net.minecraft.core.Direction getFacing(net.minecraft.world.level.block.state.BlockState state, net.minecraft.world.level.Level world, net.minecraft.core.BlockPos pos)",public
other,ic2.api.blocks.wrench.HopperWrenchHandler,setFacing,method,"ic2.api.blocks.wrench.boolean setFacing(net.minecraft.world.level.block.state.BlockState state, net.minecraft.world.level.Level world, net.minecraft.core.BlockPos pos, net.minecraft.world.entity.player.Player player, net.minecraft.core.Direction side)",public
other,ic2.api.blocks.wrench.HorizontalWrenchHandler,INSTANCE,field,ic2.api.blocks.IWrenchable INSTANCE,public
other,ic2.api.blocks.wrench.HorizontalWrenchHandler,canSetFacing,method,"ic2.api.blocks.wrench.boolean canSetFacing(net.minecraft.world.level.block.state.BlockState state, net.minecraft.world.level.Level world, net.minecraft.core.BlockPos pos, net.minecraft.world.entity.player.Player player, net.minecraft.core.Direction side)",public
other,ic2.api.blocks.wrench.HorizontalWrenchHandler,getFacing,method,"net.minecraft.core.Direction getFacing(net.minecraft.world.level.block.state.BlockState state, net.minecraft.world.level.Level world, net.minecraft.core.BlockPos pos)",public
other,ic2.api.blocks.wrench.HorizontalWrenchHandler,setFacing,method,"ic2.api.blocks.wrench.boolean setFacing(net.minecraft.world.level.block.state.BlockState state, net.minecraft.world.level.Level world, net.minecraft.core.BlockPos pos, net.minecraft.world.entity.player.Player player, net.minecraft.core.Direction side)",public
other,ic2.api.blocks.wrench.InvertedHorizontalWrenchHandler,INSTANCE,field,ic2.api.blocks.IWrenchable INSTANCE,public
other,ic2.api.blocks.wrench.InvertedHorizontalWrenchHandler,canSetFacing,method,"ic2.api.blocks.wrench.boolean canSetFacing(net.minecraft.world.level.block.state.BlockState state, net.minecraft.world.level.Level world, net.minecraft.core.BlockPos pos, net.minecraft.world.entity.player.Player player, net.minecraft.core.Direction side)",public
other,ic2.api.blocks.wrench.InvertedHorizontalWrenchHandler,getFacing,method,"net.minecraft.core.Direction getFacing(net.minecraft.world.level.block.state.BlockState state, net.minecraft.world.level.Level world, net.minecraft.core.BlockPos pos)",public
other,ic2.api.blocks.wrench.InvertedHorizontalWrenchHandler,setFacing,method,"ic2.api.blocks.wrench.boolean setFacing(net.minecraft.world.level.block.state.BlockState state, net.minecraft.world.level.Level world, net.minecraft.core.BlockPos pos, net.minecraft.world.entity.player.Player player, net.minecraft.core.Direction side)",public
other,ic2.api.blocks.wrench.ObserverBlockWrenchHandler,INSTANCE,field,ic2.api.blocks.IWrenchable INSTANCE,public
