domain,fqcn,member,kind,signature_or_value,notes
other,ic2.api.addons.IModule,canLoad,method,boolean canLoad(Dist side),DECLARED
other,ic2.api.addons.IModule,loadConfigs,method,void loadConfigs(),DECLARED
other,ic2.api.addons.IModule,preInit,method,void preInit(IEventBus modBus),DECLARED
other,ic2.api.addons.IModule,postInit,method,void postInit(),DECLARED
other,ic2.api.blocks.BlockRegistries,registerListener,method,void registerListener(Runnable run),DECLARED
other,ic2.api.blocks.BlockRegistries,reload,method,void reload(),DECLARED
other,ic2.api.blocks.BlockRegistries,registerOre,method,"void registerOre(int value, TagKey<Block> tag)",DECLARED
other,ic2.api.blocks.BlockRegistries,registerOre,method,"void registerOre(int value, Block... blocks)",DECLARED
other,ic2.api.blocks.BlockRegistries,getBlocksForOreValue,method,Set<Block> getBlocksForOreValue(int value),DECLARED
other,ic2.api.blocks.BlockRegistries,getOreValue,method,int getOreValue(BlockState state),DECLARED
other,ic2.api.blocks.BlockRegistries,getOreValue,method,int getOreValue(Block block),DECLARED
other,ic2.api.blocks.BlockRegistries,getAllValueBlocks,method,List<Block> getAllValueBlocks(),DECLARED
other,ic2.api.blocks.DyeableMap,addBlock,method,"void addBlock(Block block, DyeColor color)",DECLARED
other,ic2.api.blocks.DyeableMap,addBlocks,method,"void addBlocks(Map<Block, DyeColor> maps)",DECLARED
other,ic2.api.blocks.DyeableMap,addReverseBlocks,method,"void addReverseBlocks(Map<DyeColor, Block> maps)",DECLARED
other,ic2.api.blocks.DyeableMap,getBlock,method,Block getBlock(DyeColor color),DECLARED
other,ic2.api.blocks.DyeableMap,getBlock,method,"Block getBlock(DyeColor color, Block defaultValue)",DECLARED
other,ic2.api.blocks.DyeableMap,getColor,method,DyeColor getColor(Block block),DECLARED
other,ic2.api.blocks.DyeableMap,getBlocks,method,ObjectSet<Block> getBlocks(),DECLARED
other,ic2.api.blocks.DyeableMap,getBlockArray,method,Block[] getBlockArray(),DECLARED
other,ic2.api.blocks.DyeableMap,contains,method,boolean contains(Block block),DECLARED
other,ic2.api.blocks.ExplosionWhitelist,addWhitelist,method,void addWhitelist(Block... blocks),DECLARED
other,ic2.api.blocks.ExplosionWhitelist,removeWhitelist,method,void removeWhitelist(Block... blocks),DECLARED
other,ic2.api.blocks.ExplosionWhitelist,isWhitelisted,method,boolean isWhitelisted(Block block),DECLARED
other,ic2.api.blocks.IAdvancedComparable,getComparatorInputOverride,method,"int getComparatorInputOverride(BlockState state, Level world, BlockPos pos, Direction side)",DECLARED
other,ic2.api.blocks.IWrenchable,getFacing,method,"Direction getFacing(BlockState state, Level world, BlockPos pos);",DECLARED (fallback)
other,ic2.api.blocks.IWrenchable,canSetFacing,method,"boolean canSetFacing(BlockState state, Level world, BlockPos pos, Player player, Direction side);",DECLARED (fallback)
other,ic2.api.blocks.IWrenchable,setFacing,method,"boolean setFacing(BlockState state, Level world, BlockPos pos, Player player, Direction side);",DECLARED (fallback)
other,ic2.api.blocks.IWrenchable,doSpecialAction,method,"boolean doSpecialAction(BlockState state, Level world, BlockPos pos, Direction dir, Player player, Vec3 hit);",DECLARED (fallback)
other,ic2.api.blocks.IWrenchable,hasSpecialAction,method,"AABB hasSpecialAction(BlockState state, Level world, BlockPos pos, Direction dir, Player player, Vec3 hit);",DECLARED (fallback)
other,ic2.api.blocks.IWrenchable,canRemoveBlock,method,"boolean canRemoveBlock(BlockState state, Level world, BlockPos pos, Player player);",DECLARED (fallback)
other,ic2.api.blocks.IWrenchable,getDropRate,method,"double getDropRate(BlockState state, Level world, BlockPos pos, Player player);",DECLARED (fallback)
other,ic2.api.blocks.IWrenchable,getDrops,method,"List<ItemStack> getDrops(BlockState state, Level world, BlockPos pos, Player player);",DECLARED (fallback)
